address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
156-14 78th St #1,11414,1800,40.66153,-73.85513,,1,1,550,28,6,5
149-30 81st St #2,11414,3700,40.668076,-73.85398,,3,2,1100,40,28,10
7911 151st Ave FLOOR 2,11414,3000,40.66719,-73.85535,,3,2,1100,41,27,10
15544 79th St,11414,2500,40.663002,-73.85443,,2,2,1500,33,8,5
10221 Davenport Ct,11414,2800,40.65374,-73.82887,,2,1,800,43,4,5
157-27 99th St #1,11414,3300,40.66252,-73.83471,,3,1,1095,48,20,15
9718 160th Ave FLOOR 1,11414,2000,40.658073,-73.83554,,2,1,774,47,26,35
16008 95th Ave,11414,2750,40.657448,-73.837654,,2,1,1000,43,52,35
9954 163rd Rd #2,11414,2600,40.652786,-73.8309,,3,1,2400,39,19,30
156-14 79th St #1,11414,2100,40.6618,-73.85444,,1,1,650,29,5,5
