address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
48-08 108th St #4C,11368,1900,40.745644,-73.85632,,1,1,600,33,65,110
3344 105th St #1,11368,1950,40.75649,-73.863495,,1,1,700,36,70,105
109-04 Corona Ave #2,11368,3000,40.742092,-73.85401,,3,1,940,29,71,105
102-15 Corona Ave #3F,11368,2800,40.744358,-73.86118,,2,1,750,39,61,105
10808 Otis Ave #3,11368,3700,40.74139,-73.85366,,3,2,1100,28,62,105
5803 Calloway St APT 4FF,11368,2500,40.738335,-73.85808,,1,1,700,37,33,105
50-40 96th St,11368,4111,40.740894,-73.86653,,4,1,,40,56,100
3538 Junction Blvd APT 5C,11368,2450,40.752163,-73.87159,,1,1,600,45,98,110
11231 38th Ave APT 2B,11368,2100,40.753654,-73.85509,,1,1,600,44,59,110
5512 Van Cleef St,11368,3300,40.74099,-73.85353,,4,1,1964,28,55,105
