address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
354 W 18th St APT 1B,10011,3595,40.74299,-74.003,,1,1,,84,93,68
220 W 24th St #2203A,10011,3450,40.745144,-73.99632,,,1,420,85,91,68
43 W 16th St APT 6B,10011,4000,40.73855,-73.994995,,,1,,92,99,62
338 W 19th St #3D,10011,4100,40.743336,-74.00202,,1,1,800,84,91,75
211 W 21st St APT 4W,10011,4300,40.743286,-73.997116,,2,1,,84,92,68
156 W 15th St #3A,10011,5000,40.738808,-73.99874,,1,1,,93,91,62
255 W 15th St #20A,10011,5000,40.74036,-74.00123,,2,1,,89,87,68
331 W 16th St APT 4,10011,4250,40.74181,-74.00273,,1,1,,88,87,68
555 W 23rd St APT N5E,10011,5300,40.749207,-74.00602,,1,1,704,73,64,71
125 W 21st St APT 4D,10011,7750,40.742264,-73.99468,,1,2,973,85,96,62
