address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
274 Avenue X FLOOR 2,11223,1800,40.59002,-73.97275,,1,1,700,55,59,110
1800 Ocean Pkwy APT B5,11223,1899,40.60507,-73.967445,,1,1,,53,70,105
49 Nixon Ct APT 4F,11223,1700,40.585022,-73.967705,,,1,450,39,41,110
2795 Shore Pkwy APT 1G,11223,1700,40.584713,-73.967926,,,1,500,40,40,110
2275 West St,11223,2749,40.593266,-73.97045,,2,1,1100,51,34,110
2613 Shore Pkwy #3H,11223,2200,40.583466,-73.97415,,1,1,625,49,28,60
2619 Shore Pkwy #1D,11223,2750,40.583515,-73.973885,,2,1,850,49,28,60
1956 Coney Island Ave FLOOR 2,11223,3811,40.60946,-73.96263,,3,1,1100,53,86,105
1718 W 11th St FLOOR 2,11223,4199,40.604893,-73.98419,,3,2,,47,55,105
1968 W 10th St #2R,11223,2500,40.599102,-73.98215,,2,1,600,47,45,110
