address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
342 Marion St #LB,11233,1850,40.68101,-73.915634,,2,1,,83,35,81
2110 Fulton St #4,11233,2699,40.678146,-73.91283,,2,1,600,88,60,77
265 Malcolm X Blvd #1E,11233,3899,40.683342,-73.92887,,4,3,1201,83,69,81
518 Chauncey St APT 2L,11233,3999,40.682293,-73.91098,,3,2,1050,88,66,81
684 Mac Donough St #1,11233,3595,40.683636,-73.918884,,3,2,,83,50,81
493 Decatur St #1,11233,4975,40.682796,-73.923706,,2,2,,77,59,85
214 Patchen Ave APT 1,11233,5500,40.683456,-73.926445,,2,2,2025,77,53,81
1661 Saint Johns Pl APT 5F,11233,2200,40.670395,-73.92179,,1,1,,75,53,81
179 Mother Gaston Blvd APT 2A,11233,2750,40.675133,-73.90811,,2,1,,79,39,81
1928 Pacific St #3A,11233,2495,40.67593,-73.92257,,2,1,,84,37,77
