address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
240-33 67th Ave #1,11362,3500,40.75182,-73.738815,,3,3,1520,0,6,5
24457 Grand Central Pkwy FLOOR 2,11362,3250,40.748684,-73.72959,,3,2,1000,0,2,0
24000 68th Ave #1,11362,2300,40.750767,-73.739006,,1,1,750,0,4,5
25310 W End Dr #2,11362,3000,40.77063,-73.73335,,3,2,1100,0,69,20
57-52 256,11362,4200,40.76226,-73.72459,,4,3,1300,0,24,20
53-21 254,11362,4800,40.766006,-73.72721,,3,2,1280,0,32,20
50-00 Marathon Pkwy,11362,4900,40.754047,-73.72743,,3,2,,0,6,10
54-44 Little Neck Pkwy APT 5L,11362,2600,40.765705,-73.72512,,,1,,0,31,20
