Zip Code,Latitude,Longitude,Listing Count,Median Rent,Avg Housing Score,Avg Transit Score,Avg Daily Living Score,Avg Grocery Score,Affordability Index
11411,40.68727,-73.73592,4,3250,84,0,19,36,56
10465,40.818733,-73.82053,10,3400,84,0,25,19,55
11364,40.738274,-73.75741,10,2948,85,0,30,12,55
10007,40.7165,-74.0123,8,10475,31,99,90,68,54
10309,40.543583,-74.20313,10,3100,86,0,9,10,54
11359,40.788437,-73.78123,1,2700,88,0,7,4,54
11422,40.664864,-73.72847,10,3400,84,0,16,23,54
10464,40.8387,-73.78439,5,3100,83,0,23,10,53
11360,40.786507,-73.77618,10,3275,84,0,14,8,52
11362,40.75182,-73.738815,8,3375,82,0,19,10,52
10069,40.775055,-73.989944,2,8873,44,57,51,65,50
