address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
245 E 35th St APT 10F,10016,4000,40.745903,-73.9759,,2,1,,69,107,102
51 E 34th St #4S,10016,3700,40.747665,-73.982,,2,1,,81,116,86
203 E 27th St,10016,3450,40.74124,-73.98079,,1,1,,75,97,94
155 E 26th St APT 3D,10016,3200,40.74096,-73.98203,,1,1,,76,101,94
31 E 30th St APT 1A,10016,4295,40.745167,-73.984024,,2,1,,79,106,86
309 5th Ave APT 24A,10016,5931,40.746826,-73.98546,,1,1,767,84,94,94
304 1/2 E 38th St APT 7,10016,2450,40.74712,-73.97362,,1,1,,65,111,102
160 E 38th St APT 3H,10016,7350,40.748295,-73.97667,,2,3,1261,67,106,102
591 3rd Ave #5E,10016,4300,40.748436,-73.975746,,,1,590,67,103,97
210 E 39th St #601,10016,5144,40.748444,-73.97542,,1,1,692,67,103,97
