address,zip,price,lat,lng,url,bedrooms,bathrooms,sqft,Transit Score,Social Score,Grocery Score
3401 Parsons Blvd APT A1,11354,1650,40.766636,-73.8239,,,1,300,16,65,100
143-51 Roosevelt Ave #1J,11354,2200,40.761517,-73.82312,,1,1,685,35,75,100
134-16 35th Ave #12A,11354,2700,40.763958,-73.832596,,1,1,538,31,110,110
141-43 Northern Blvd UNIT 4,11354,2800,40.764717,-73.8242,,2,2,1200,25,82,100
131-01 40th Rd #11P,11354,3200,40.755917,-73.83696,,1,1,690,29,70,105
131-02 A 40th Road #16,11354,4300,40.755608,-73.837456,,2,2,1170,29,65,105
144-27 35th Ave #5T,11354,2695,40.766068,-73.82285,,2,2,1100,16,73,100
14340 38th Ave SUITE 201,11354,2100,40.76196,-73.82316,,1,1,640,29,70,100
15718 26th Ave #1,11354,2250,40.773407,-73.806175,,1,1,550,0,8,10
142-38 37th Ave #9H,11354,2600,40.762596,-73.825966,,1,1,521,33,112,100
